subject,vert,x_min,x_max,y_min,y_max,z_min,z_max,vert_path,subreg_path,preprocessed_orientation,preprocessed_zoom,preprocessed_rotation,preprocessed_origin,preprocessed_shape,original_orientation,original_zoom,original_shape,original_rotation,original_origin
CTFU00068,3,234,301,211,268,2746,2800,tmp/CTFU00068/vert_3-vertseg.nii.gz,tmp/CTFU00068/vert_3-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(20.9960938, 118.5429688, -650.6022339)","(65, 56, 32)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,4,234,301,204,261,2723,2779,tmp/CTFU00068/vert_4-vertseg.nii.gz,tmp/CTFU00068/vert_4-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(20.9960938, 111.7070312, -664.4023743)","(65, 56, 34)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,5,236,303,199,252,2698,2757,tmp/CTFU00068/vert_5-vertseg.nii.gz,tmp/CTFU00068/vert_5-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(19.0429688, 106.8242188, -679.4025269)","(65, 52, 35)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,6,235,304,187,249,2678,2734,tmp/CTFU00068/vert_6-vertseg.nii.gz,tmp/CTFU00068/vert_6-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(20.0195312, 95.1054688, -691.4026489)","(67, 61, 34)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,7,229,305,174,248,2656,2710,tmp/CTFU00068/vert_7-vertseg.nii.gz,tmp/CTFU00068/vert_7-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(25.8789062, 82.4101562, -704.6027832)","(74, 72, 32)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,8,224,315,165,242,2626,2687,tmp/CTFU00068/vert_8-vertseg.nii.gz,tmp/CTFU00068/vert_8-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(30.7617188, 73.6210938, -722.6029663)","(89, 75, 37)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,9,227,313,156,237,2591,2664,tmp/CTFU00068/vert_9-vertseg.nii.gz,tmp/CTFU00068/vert_9-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(27.8320312, 64.8320312, -743.6031799)","(84, 79, 44)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,10,230,310,148,231,2560,2630,tmp/CTFU00068/vert_10-vertseg.nii.gz,tmp/CTFU00068/vert_10-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(24.9023438, 57.0195312, -762.2033691)","(78, 81, 42)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,11,232,307,143,224,2525,2595,tmp/CTFU00068/vert_11-vertseg.nii.gz,tmp/CTFU00068/vert_11-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(22.9492188, 52.1367188, -783.2035828)","(73, 79, 42)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
CTFU00068,12,231,308,139,220,2475,2560,tmp/CTFU00068/vert_12-vertseg.nii.gz,tmp/CTFU00068/vert_12-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(23.9257812, 48.2304688, -813.2038879)","(75, 79, 51)","('L', 'A', 'S')","(0.9765625, 0.9765625, 0.6000061)","(512, 512, 3118)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -87.5117188, -2298.2189941)"
