subject,vert,x_min,x_max,y_min,y_max,z_min,z_max,vert_path,subreg_path,preprocessed_orientation,preprocessed_zoom,preprocessed_rotation,preprocessed_origin,preprocessed_shape,original_orientation,original_zoom,original_shape,original_rotation,original_origin
CTFU00065,3,227,299,257,316,609,631,tmp/CTFU00065/vert_3-vertseg.nii.gz,tmp/CTFU00065/vert_3-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(27.8320312, 176.4648438, 453.0)","(70, 58, 44)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,4,227,301,256,314,599,624,tmp/CTFU00065/vert_4-vertseg.nii.gz,tmp/CTFU00065/vert_4-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(27.8320312, 175.4882812, 433.0)","(72, 57, 50)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,5,227,300,247,309,588,615,tmp/CTFU00065/vert_5-vertseg.nii.gz,tmp/CTFU00065/vert_5-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(27.8320312, 166.6992188, 411.0)","(71, 61, 54)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,6,226,298,230,305,579,609,tmp/CTFU00065/vert_6-vertseg.nii.gz,tmp/CTFU00065/vert_6-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(28.8085938, 150.0976562, 393.0)","(70, 73, 60)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,7,216,310,212,289,572,605,tmp/CTFU00065/vert_7-vertseg.nii.gz,tmp/CTFU00065/vert_7-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(38.5742188, 132.5195312, 379.0)","(92, 75, 66)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,8,215,312,198,275,563,598,tmp/CTFU00065/vert_8-vertseg.nii.gz,tmp/CTFU00065/vert_8-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(39.5507812, 118.8476562, 361.0)","(95, 75, 70)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,9,219,306,177,262,554,589,tmp/CTFU00065/vert_9-vertseg.nii.gz,tmp/CTFU00065/vert_9-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(35.6445312, 98.3398438, 343.0)","(85, 83, 70)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,10,218,304,159,251,545,579,tmp/CTFU00065/vert_10-vertseg.nii.gz,tmp/CTFU00065/vert_10-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(36.6210938, 80.7617188, 325.0)","(84, 90, 68)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,11,216,299,147,242,536,569,tmp/CTFU00065/vert_11-vertseg.nii.gz,tmp/CTFU00065/vert_11-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(38.5742188, 69.0429688, 307.0)","(81, 93, 66)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
CTFU00065,12,213,295,137,234,527,558,tmp/CTFU00065/vert_12-vertseg.nii.gz,tmp/CTFU00065/vert_12-subreg.nii.gz,"('L', 'A', 'S')","(1.0, 1.0, 1.0)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(41.5039062, 59.2773438, 289.0)","(80, 95, 62)","('L', 'A', 'S')","(0.9765625, 0.9765625, 2.0)","(512, 512, 727)","[[-1.  0.  0.]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]","(249.5117188, -74.5117188, -765.0)"
